"parameter","estimate","se","block","wald"
"intercept",4.08409489544017,2.86067931885571,"fixed_effect",1.42766610312471
"ns1",-10.4799824238154,1.99489585630221,"fixed_effect",-5.25339826172247
"ns2",-22.9114642904607,2.45634852665211,"fixed_effect",-9.32744846338559
"ns3",-52.0242569318631,1.36735940512503,"fixed_effect",-38.0472440068571
"ns4",-53.5805223618031,5.95436476876171,"fixed_effect",-8.99852871676618
"ns5",-30.1750541729959,5.76480025630816,"fixed_effect",-5.23436248115912
"condin vivo",-6.06386983658898,3.12323916196261,"fixed_effect",-1.94153233938656
"ns1:condin vivo",-13.7160728878413,2.04877219464968,"fixed_effect",-6.69477696137253
"ns2:condin vivo",-9.517786614579,2.53972943557211,"fixed_effect",-3.74755927984706
"ns3:condin vivo",8.53307548886346,1.4266432622944,"fixed_effect",5.98122580072341
"ns4:condin vivo",-5.54316943189884,6.08709795209497,"fixed_effect",-0.910642390762098
"ns5:condin vivo",-18.3418741278174,5.80729875936756,"fixed_effect",-3.15841751696186
"varcov 1",40.5808099176715,0.6819790354326,"variance_component",NA
"stderr",3.18764324375597,0.037165916631081,"variance_component",NA
