"K","n_fixed","converged","loglik","AIC","BIC","wald_pass","wald_total","wald_pass_ref","wald_total_ref","wald_pass_diff","wald_total_diff","sigma_b","sigma_resid","skew","kurtosis","shapiro_p","seconds"
2,6,TRUE,-9841.15389739038,19698.3077947808,19712.5813118521,6,6,3,3,3,3,6.36803257520134,3.28782739680326,-0.318206925532981,1.0481424025816,9.84954454837786e-20,9.88171029090881
3,8,TRUE,-9818.06649595938,19656.1329919188,19673.9748882579,8,8,4,4,4,4,6.3848478706512,3.26716348760628,-0.371589481235994,1.02971993299849,1.16960589448735e-19,10.1948702335358
4,10,TRUE,-9736.04334245929,19496.0866849186,19517.4969605256,6,10,4,5,2,5,6.34881334002762,3.19536630678592,-0.280221307769914,1.18711201227033,7.38378050135376e-19,10.0068688392639
5,12,TRUE,-9727.28587946225,19482.5717589245,19507.5504137993,9,12,5,6,4,6,6.37030689352338,3.18764324375597,-0.251662114440429,1.17520066666811,3.05125765312563e-18,12.8501091003418
