"setting","x_lo","x_hi","n_rows","resid_sd","kurtosis","resid_acf1"
"full range",-3.464,187.025,3724,0.436670970757195,12.5531809598751,0.835563182610406
"trimmed to overlap",14,150,3378,0.304342904445154,5.2477072281272,0.837206919507316
