"parameter","estimate","se","block","wald"
"intercept",0.833915687908482,1.96755939199715,"fixed_effect",0.423832536542659
"ns1",-8.52315743723613,1.6879496827688,"fixed_effect",-5.04941440153317
"ns2",-19.0289677713625,2.23905542512203,"fixed_effect",-8.49865865661874
"ns3",-43.2783710216202,2.49255442349437,"fixed_effect",-17.3630596041098
"ns4",-55.2272112442007,4.85114009214405,"fixed_effect",-11.3843777329036
"ns5",-48.7804633761024,6.65287570082371,"fixed_effect",-7.33223730154206
"condin vivo",-4.06129930311964,2.3116463449061,"fixed_effect",-1.75688608773095
"ns1:condin vivo",-13.8202872869452,1.97727450258043,"fixed_effect",-6.98956430627572
"ns2:condin vivo",-12.3529721077477,2.6363591503126,"fixed_effect",-4.68561808290913
"ns3:condin vivo",5.16132530571957,2.95709443654454,"fixed_effect",1.74540428669933
"ns4:condin vivo",-0.765130595559203,5.60174847426808,"fixed_effect",-0.13658781701354
"ns5:condin vivo",4.28628655485617,7.7431729242656,"fixed_effect",0.5535568683251
"varcov 1",45.0544115193656,0.757175411235396,"variance_component",NA
"varcov 2",-13.5818952088619,0.982736823305603,"variance_component",NA
"varcov 3",32.3930038611547,0.599654116198404,"variance_component",NA
"varcov 4",-22.4157152452581,1.33968552578524,"variance_component",NA
"varcov 5",32.3627293460937,1.21702117676955,"variance_component",NA
"varcov 6",59.0921787424595,0.541299754010666,"variance_component",NA
"varcov 7",-18.9095313401241,1.37161122833257,"variance_component",NA
"varcov 8",9.79345796483971,1.8005406203512,"variance_component",NA
"varcov 9",34.8601955184942,1.18215446229867,"variance_component",NA
"varcov 10",78.0804160657535,0.774259654521163,"variance_component",NA
"varcov 11",-14.7327018472434,1.37517184166164,"variance_component",NA
"varcov 12",23.7194414109497,2.84656163209718,"variance_component",NA
"varcov 13",55.2968517200044,2.3501445462668,"variance_component",NA
"varcov 14",-4.17599763311853,2.27733610273514,"variance_component",NA
"varcov 15",227.877062253763,1.60599830085301,"variance_component",NA
"varcov 16",-0.000237423110329306,0.00510692601617387,"variance_component",NA
"varcov 17",-14.134137081826,3.83085764305877,"variance_component",NA
"varcov 18",16.8835476075044,3.4796048077318,"variance_component",NA
"varcov 19",-37.6923448163443,3.52366011775708,"variance_component",NA
"varcov 20",282.39851350178,2.63422282597922,"variance_component",NA
"varcov 21",459.291897839371,0.705520834073888,"variance_component",NA
"stderr",0.448757914902658,0.00541044089401325,"variance_component",NA
