"variant","spec","converged","n_param","loglik","BIC","resid_acf1","resid_sd","skew","kurtosis","wald_pass","wald_total","seconds"
"R1_intercept","random = ~1 (iteration 03)",TRUE,14,-9728.55333120112,19510.0853172771,0.977546717335685,3.17033888273867,-0.259033128898472,1.18447901227758,8,12,11.679591178894
"R2_spline_diag","random = ~ns(...), diagonal",TRUE,19,-3188.72477817274,6449.34915938993,0.835563182610406,0.436670970757195,-0.444723512807815,12.5531809598751,7,12,16.4142999649048
"R3_spline_unstr","random = ~ns(...), unstructured",TRUE,34,-3109.83307584047,6348.32859923416,0.835220840293729,0.433337664723751,-0.438095638803288,12.9841600587813,7,12,661.494941711426
