"K","n_random","knots","converged","n_param","BIC","resid_acf1","resid_sd","skew","kurtosis","wald_pass","wald_total","wald_pass_ref","wald_total_ref","wald_pass_diff","wald_total_diff","seconds"
2,3,"90",TRUE,10,12360.9800827901,0.938095588854072,1.1078819934166,-0.694143904118285,5.70029539760464,5,6,3,3,2,3,10.7701072692871
3,4,"60/110",TRUE,13,9248.35707057474,0.899182428651607,0.693884600370216,-0.479097387607053,6.7268490416116,7,8,4,4,3,4,13.2562980651855
4,5,"50/90/120",TRUE,16,7606.74130174566,0.870979844784189,0.531941716184079,-0.349588886198178,9.44110963619008,6,10,4,5,2,5,14.3850705623627
5,6,"40/70/100/130",TRUE,19,6449.34915938993,0.835563182610406,0.436670970757195,-0.444723512807815,12.5531809598751,7,12,5,6,2,6,16.7069165706635
