"joint","motion","dof","n_rows","n_units","n_ex","n_in","st_ex","st_in","mode","x_lo","x_hi","knots","n_fitted","converged","BIC","level_shift","level_wald","joint_chi2","joint_df","joint_p","shape_chi2","shape_df","shape_p","wald_pass_ref","wald_total_ref","wald_pass_diff","wald_total_diff","sym_diff","diff_mean_signed","diff_mean_abs","diff_max_abs","diff_lo_curve","diff_hi_curve","sig_frac_x","diff_mean_lo","diff_mean_hi","resid_sd","kurtosis","seconds","note","joint_p_fdr","shape_p_fdr"
"glenohumeral","sagittal plane elevation",2,21680,34,10,24,1,4,"compare",19.4352977105848,135.502665844067,"45/78.5/111.3",2406,TRUE,3462.4792470554,-20.87555738582,-7.0161767962131,258.345391669358,5,8.89537419638001e-54,210.606389621145,4,1.96765921538944e-44,4,5,4,5,"●●●●○",3.77252052841854,7.10339370909376,14.9294068973894,-14.9294068973894,9.79712305112452,0.5,-3.43322006898136,10.9782611258184,0.36603613534089,3.55851610990328,17.0052063465118,"",9.78491161601801e-53,6.49327541078515e-43
"sternoclavicular","horizontal flexion",2,13064,10,10,0,2,0,"single",-100.797346952807,-0.165391774641805,"-75.6/-50.4/-26.1",863,TRUE,-346.468959111719,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153387537330011,2.28479453948987,5.04821491241455,"",NA,NA
"acromioclavicular","horizontal flexion",2,13047,9,9,0,1,0,"single",-100.712139748592,-0.116220254514971,"-75.6/-50.3/-25.9",861,TRUE,464.689485142441,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24740241673418,3.34872859338712,5.35227298736572,"",NA,NA
"scapulothoracic","horizontal flexion",2,13485,17,10,7,2,1,"compare",-100.806402522268,-0.0258220878991011,"-74.7/-49.9/-25.6",1246,TRUE,192.432711375182,11.6219725497273,3.27501966211568,47.9432485548742,5,3.64793980976786e-09,37.0329300050581,4,1.77338316850749e-07,4,5,3,5,"●●○○●",20.8412378030303,20.8412378030303,22.9100673391387,14.5330983543514,22.9100673391387,1,13.0055906805331,28.6768849255275,0.193356054444255,8.95161977105682,13.4589760303497,"",9.26015490171842e-09,4.50166496621133e-07
"glenohumeral","horizontal flexion",2,13047,9,9,0,1,0,"single",-100.712139748592,-0.116220254514971,"-75.6/-50.3/-25.9",861,TRUE,668.634552532066,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277214060940817,4.41815392492215,4.75400304794312,"",NA,NA
"sternoclavicular","internal-external rotation 0 degree-abducted",2,9179,12,10,2,1,1,"single",-33.4692636241369,125.006970398204,"11.2/40.7/69.5",1112,TRUE,-2235.51517609612,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0694664371686509,0.262609781508209,5.49627113342285,"",NA,NA
"acromioclavicular","internal-external rotation 0 degree-abducted",2,9179,12,10,2,1,1,"single",-33.4692636241369,125.006970398204,"11.2/40.7/69.5",1112,TRUE,-928.673191134731,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125310893020671,0.949556495638376,4.90143871307373,"",NA,NA
"scapulothoracic","internal-external rotation 0 degree-abducted",2,11438,31,10,21,1,2,"compare",-28.6830967338435,109.473158309451,"-2.3/29.9/59.6",2365,TRUE,1640.21417544546,-9.96275723247506,-2.48079160826087,7.6331976685524,5,0.177643130686967,1.29014636779573,4,0.863045115298429,2,5,1,5,"●○○○○",-10.3701350480736,10.3701350480736,14.5580257174103,-14.5580257174103,-9.54699421790971,0.712,-19.2369148347662,-1.50335526138102,0.265762481888044,6.89552796132202,13.9881818294525,"",0.217119381950738,0.890015275151505
"glenohumeral","internal-external rotation 0 degree-abducted",2,11438,31,10,21,1,2,"compare",-28.6830967338435,109.473158309451,"-2.3/29.9/59.6",2365,TRUE,3440.26750218901,27.2968036531893,3.44662192213422,14.6273381729015,5,0.012079188900256,5.38401824766847,4,0.250114032290717,3,5,1,5,"●○○○○",18.7763755023893,18.7763755023893,23.0707832356228,12.5307762855396,23.0707832356228,0.672,2.08833029956326,35.4644207052153,0.383175484244248,3.40258897250282,12.8988335132599,"",0.0173310101612369,0.317452425599756
"sternoclavicular","internal-external rotation 90 degree-abducted",2,402,2,0,2,0,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (0 ex / 2 in)",NA,NA
"acromioclavicular","internal-external rotation 90 degree-abducted",2,402,2,0,2,0,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (0 ex / 2 in)",NA,NA
"scapulothoracic","internal-external rotation 90 degree-abducted",2,2833,24,0,24,0,4,"single",-43.9034249509451,103.16434324727,"-1/31.4/69",2135,TRUE,884.008054482993,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232217929805442,1.72299184783105,10.7007522583008,"",NA,NA
"glenohumeral","internal-external rotation 90 degree-abducted",2,2807,22,0,22,0,2,"single",-43.9034249509451,103.16434324727,"-0.9/31.8/69.5",2109,TRUE,2562.27946380368,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357239369051301,3.5006794128148,13.4598269462585,"",NA,NA
