"joint","motion","dof","n_rows","n_units","n_ex","n_in","st_ex","st_in","mode","x_lo","x_hi","knots","n_fitted","converged","BIC","level_shift","level_wald","joint_chi2","joint_df","joint_p","shape_chi2","shape_df","shape_p","wald_pass_ref","wald_total_ref","wald_pass_diff","wald_total_diff","sym_diff","diff_mean_signed","diff_mean_abs","diff_max_abs","diff_lo_curve","diff_hi_curve","sig_frac_x","diff_mean_lo","diff_mean_hi","resid_sd","kurtosis","seconds","note","joint_p_fdr","shape_p_fdr"
"acromioclavicular","horizontal flexion",3,13047,9,9,0,1,0,"single",-100.712139748592,-0.116220254514971,"-75.6/-50.3/-25.9",861,TRUE,283.884324942766,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225661101653652,1.35688232510429,5.31608104705811,"",NA,NA
"scapulothoracic","horizontal flexion",3,13485,17,10,7,2,1,"compare",-100.806402522268,-0.0258220878991011,"-74.7/-49.9/-25.6",1246,TRUE,-504.702985157127,-14.4331107074744,-4.23184079259565,23.6672061352168,5,0.000251526138764571,5.78789568514623,4,0.215558201352921,4,5,1,5,"●○○○○",-12.0352892597142,12.0352892597142,13.3629669187544,-13.3629669187544,-10.939631976989,1,-19.7387671947344,-4.33181132469397,0.14607608290057,9.04161017391355,11.9742524623871,"",0.000461131254401714,0.284536825785856
"glenohumeral","horizontal flexion",3,13047,9,9,0,1,0,"single",-100.712139748592,-0.116220254514971,"-75.6/-50.3/-25.9",861,TRUE,979.308152865281,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329786758874183,7.62532466888144,5.38830161094666,"",NA,NA
"sternoclavicular","internal-external rotation 0 degree-abducted",3,9179,12,10,2,1,1,"single",-33.4692636241369,125.006970398204,"11.2/40.7/69.5",1112,TRUE,-1003.70272090215,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123063805808907,13.4458110928331,6.79508471488953,"",NA,NA
"acromioclavicular","internal-external rotation 0 degree-abducted",3,9179,12,10,2,1,1,"single",-33.4692636241369,125.006970398204,"11.2/40.7/69.5",1112,TRUE,-1289.36592972134,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102227877192596,1.82752155308702,7.73446035385132,"",NA,NA
"scapulothoracic","internal-external rotation 0 degree-abducted",3,11438,31,10,21,1,2,"compare",-28.6830967338435,109.473158309451,"-2.3/29.9/59.6",2365,TRUE,1364.80609378939,-3.05557545672705,-1.03546912328733,7.27713550713073,5,0.200831736271004,4.66190435867524,4,0.323779038274962,1,5,0,5,"○○○○○",-6.95294393754584,6.95294393754584,8.45621106908725,-8.45621106908725,-5.39911667753621,0.56,-13.4204852919393,-0.485402583152421,0.252437019265017,11.5883117847937,14.0114123821259,"",0.236694546319398,0.395729935669398
"glenohumeral","internal-external rotation 0 degree-abducted",3,11438,31,10,21,1,2,"compare",-28.6830967338435,109.473158309451,"-2.3/29.9/59.6",2365,TRUE,13088.706625202,76.278040620862,2.11010147122848,5.44103076486751,5,0.364455407414784,0.280477419011715,4,0.991039313686507,5,5,1,5,"●○○○○",80.3095699798279,80.3095699798279,96.1919850932269,70.1778550316495,96.1919850932269,0.12,3.77107871321353,156.848061246442,2.99689674949179,19.706691529311,16.9061186313629,"",0.400900948156262,0.991039313686507
"sternoclavicular","internal-external rotation 90 degree-abducted",3,402,2,0,2,0,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (0 ex / 2 in)",NA,NA
"acromioclavicular","internal-external rotation 90 degree-abducted",3,402,2,0,2,0,1,"skip",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"too few units (0 ex / 2 in)",NA,NA
"scapulothoracic","internal-external rotation 90 degree-abducted",3,2833,24,0,24,0,4,"single",-43.9034249509451,103.16434324727,"-1/31.4/69",2135,TRUE,1801.37526889749,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299040937783939,3.09688874910042,10.6910829544067,"",NA,NA
"glenohumeral","internal-external rotation 90 degree-abducted",3,2807,22,0,22,0,2,"single",-43.9034249509451,103.16434324727,"-0.9/31.8/69.5",2109,TRUE,3944.71530351324,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501276469875303,9.43676803972989,16.7604339122772,"",NA,NA
