"joint","motion","dof","n_rows","n_units","n_ex","n_in","st_ex","st_in","mode","rho","level_shift","level_p","diff_p","diff_mean_signed","diff_mean_abs","diff_max_abs","bic","note","diff_p_fdr","level_p_fdr"
"scapulothoracic","horizontal flexion",2,13485,17,10,7,2,1,"compare",0.997570585544586,14.1505982163715,2.26874540597178e-12,0,19.8400561105793,19.8400561105793,21.2858038367476,-29642.7118766674,"",0,3.74342991985344e-11
"scapulothoracic","horizontal flexion",3,13485,17,10,7,2,1,"compare",0.996268454508517,-10.5428696860458,1.69489880345051e-09,0,-12.5693103038639,12.5693103038639,15.66462338102,-50272.4606796684,"",0,9.3219434189778e-09
"scapulothoracic","internal-external rotation 0 degree-abducted",1,11438,31,10,21,1,2,"compare",0.931097089074817,-3.22049231520334,0.0900569279079624,0,-5.7976887698419,6.69300079142501,14.5499846980115,13275.0554869545,"",0,0.123828275873448
"scapulothoracic","internal-external rotation 0 degree-abducted",2,11438,31,10,21,1,2,"compare",0.97451531002304,-7.23820739125693,3.57296448833161e-05,0.134162563584043,-10.4286743210971,10.4286743210971,10.7356576817363,-8677.50728698412,"",0.134162563584043,0.000117907828114943
"scapulothoracic","internal-external rotation 0 degree-abducted",3,11438,31,10,21,1,2,"compare",0.954528214691137,-3.97121862520618,0.0310904446213375,1.72041912680498e-05,-5.86639137347372,5.86639137347372,6.34134562699614,-9034.06190141303,"",1.77418222451764e-05,0.0512992336252069
"scapulothoracic","internal-external rotation 90 degree-abducted",1,2833,24,0,24,0,4,"single",0.972455459819408,NA,NA,NA,NA,NA,NA,2.27220364251434,"only: in vivo",NA,NA
"scapulothoracic","internal-external rotation 90 degree-abducted",2,2833,24,0,24,0,4,"single",0.968789250594614,NA,NA,NA,NA,NA,NA,-107.693312655246,"only: in vivo",NA,NA
"scapulothoracic","internal-external rotation 90 degree-abducted",3,2833,24,0,24,0,4,"single",0.967974220683616,NA,NA,NA,NA,NA,NA,-70.3345323222045,"only: in vivo",NA,NA
"scapulothoracic","sagittal plane elevation",1,21807,38,13,25,4,5,"compare",0.993216124507094,3.94253833407297,0.125684478768195,0,5.10118525183853,5.10118525183853,9.31232739294738,-23889.7424328742,"",0,0.156152715844191
"scapulothoracic","sagittal plane elevation",2,21807,38,13,25,4,5,"compare",0.995577938627456,-5.35365811686228,0.00743034678426803,0,-8.59667780802937,8.61655778155651,14.1713522317927,-32971.3879972289,"",0,0.0144236143459321
"scapulothoracic","sagittal plane elevation",3,21807,38,13,25,4,5,"compare",0.986839106247066,0.831349561859563,0.590826556268236,0,0.531948261449524,2.28679490882398,6.48376024096526,-30498.972889831,"",0,0.609289886151618
"scapulothoracic","scapular plane elevation",1,3161,51,2,49,2,7,"single",0.923536621166563,NA,NA,NA,NA,NA,NA,6753.28536286842,"only: ex vivo+in vivo",NA,NA
"scapulothoracic","scapular plane elevation",2,3161,51,2,49,2,7,"single",0.926139389687145,NA,NA,NA,NA,NA,NA,5028.09488688874,"only: ex vivo+in vivo",NA,NA
"scapulothoracic","scapular plane elevation",3,3161,51,2,49,2,7,"single",0.908063401473401,NA,NA,NA,NA,NA,NA,6494.49812437557,"only: ex vivo+in vivo",NA,NA
"sternoclavicular","frontal plane elevation",1,18816,17,13,4,4,3,"compare",0.997742178442513,-1.70223306305901,0.502782538684549,0,-2.2537316940364,2.2537316940364,3.42221445931994,-59590.6242479454,"",0,0.535220121825487
"sternoclavicular","frontal plane elevation",2,18816,17,13,4,4,3,"compare",0.996754167055017,-2.54680876372481,0.381470116860912,0,-2.47397801829232,4.95221111873251,7.53176765079909,-50473.8302283158,"",0,0.434086684703797
"sternoclavicular","frontal plane elevation",3,18816,17,13,4,4,3,"compare",0.995073370839672,8.73677979625653,0.108539264471174,0,12.8013416719194,12.8013416719194,18.8111845499807,-45097.1112320111,"",0,0.14327182910195
"sternoclavicular","horizontal flexion",1,13064,10,10,0,2,0,"single",0.997797247596606,NA,NA,NA,NA,NA,NA,-40298.1078594446,"only: ex vivo",NA,NA
"sternoclavicular","horizontal flexion",2,13064,10,10,0,2,0,"single",0.997728100881298,NA,NA,NA,NA,NA,NA,-41046.7616956891,"only: ex vivo",NA,NA
"sternoclavicular","horizontal flexion",3,13064,10,10,0,2,0,"single",0.997786050028492,NA,NA,NA,NA,NA,NA,-57974.8179631059,"only: ex vivo",NA,NA
"sternoclavicular","internal-external rotation 0 degree-abducted",1,9179,12,10,2,1,1,"single",0.996462032248911,NA,NA,NA,NA,NA,NA,-35464.3245700499,"only: ex vivo+in vivo",NA,NA
"sternoclavicular","internal-external rotation 0 degree-abducted",2,9179,12,10,2,1,1,"single",0.996484180645036,NA,NA,NA,NA,NA,NA,-53779.8778530757,"only: ex vivo+in vivo",NA,NA
"sternoclavicular","internal-external rotation 0 degree-abducted",3,9179,12,10,2,1,1,"single",0.995672840998182,NA,NA,NA,NA,NA,NA,-46098.7778529803,"only: ex vivo+in vivo",NA,NA
"sternoclavicular","internal-external rotation 90 degree-abducted",1,402,2,0,2,0,1,"skip",NA,NA,NA,NA,NA,NA,NA,NA,"too few units",NA,NA
"sternoclavicular","internal-external rotation 90 degree-abducted",2,402,2,0,2,0,1,"skip",NA,NA,NA,NA,NA,NA,NA,NA,"too few units",NA,NA
"sternoclavicular","internal-external rotation 90 degree-abducted",3,402,2,0,2,0,1,"skip",NA,NA,NA,NA,NA,NA,NA,NA,"too few units",NA,NA
"sternoclavicular","sagittal plane elevation",1,19360,16,13,3,4,2,"compare",0.997654790583774,3.14528856444223,0.411446013329537,0,5.14149234825355,5.14149234825355,7.59103066426627,-61619.0384278336,"",0,0.452590614662491
"sternoclavicular","sagittal plane elevation",2,19360,16,13,3,4,2,"compare",0.997967830815542,28.6959278750555,1.00319865312052e-10,0,-6.63741267987393,6.63741267987393,8.58927258824951,-63104.9480220607,"",0,8.27638888824426e-10
"sternoclavicular","sagittal plane elevation",3,19360,16,13,3,4,2,"compare",0.997765423516145,9.19726375142429,0.127761312963429,0,10.8806764697772,10.8806764697772,17.8954763149938,-58834.5465518806,"",0,0.156152715844191
"sternoclavicular","scapular plane elevation",1,280,26,1,25,1,2,"single",0.811395775593805,NA,NA,NA,NA,NA,NA,1222.28919832567,"only: ex vivo+in vivo",NA,NA
"sternoclavicular","scapular plane elevation",2,280,26,1,25,1,2,"single",0.728379778530806,NA,NA,NA,NA,NA,NA,977.292750405678,"only: ex vivo+in vivo",NA,NA
"sternoclavicular","scapular plane elevation",3,280,26,1,25,1,2,"single",0.713770236268761,NA,NA,NA,NA,NA,NA,1004.41313826875,"only: ex vivo+in vivo",NA,NA
